"Tarih","M1","M2","M3","M4","M5","M6","M7","M8","M9","T1","T4","T5","F1","F4","T3","TF1","TF2",""
"1/1/2017","21,575","22,479","16,561","11,762","","7,502","","","","21,497","12,353","","11,950","","","","",""
"2/1/2017","19,488","20,288","15,012","10,644","","6,776","","","","19,536","11,188","","10,808","","","","",""
"3/1/2017","21,582","22,846","16,689","11,820","","7,650","","","","21,714","12,439","","11,978","","","","",""
"4/1/2017","20,870","21,680","15,967","11,413","","7,260","","","","20,755","11,949","","11,560","","","","",""
"5/1/2017","21,568","22,588","16,575","11,784","","7,518","","","","21,612","12,361","","11,604","","","","",""
"6/1/2017","20,779","22,985","15,946","11,200","","7,090","","","","20,820","11,427","","11,632","","","","",""
"7/1/2017","21,421","21,834","15,929","11,394","","7,502","","","","20,526","11,285","","11,950","","","","",""
"8/1/2017","21,421","22,403","16,023","11,464","","7,502","","","","20,740","11,332","","11,978","","","","",""
"9/1/2017","20,800","22,327","15,708","11,301","","7,260","","","","20,170","11,332","","11,504","","","","",""
"10/1/2017","21,545","24,359","16,565","11,802","","7,502","","","","21,513","12,424","","11,755","","","","",""
"11/1/2017","20,884","23,680","16,135","11,543","","7,260","","","","21,034","12,120","","11,269","","","","",""
"12/1/2017","21,568","24,238","16,529","11,849","","7,502","","","","21,567","12,403","","11,950","","","","",""
"1/1/2018","21,556","24,354","16,564","11,882","8,247","7,500","","","","21,487","12,439","","11,654","","2,325","1,970","6,201",""
"2/1/2018","19,488","22,080","15,011","10,708","7,426","6,655","","","","19,535","11,390","","10,808","","2,060","2,072","5,114",""
"3/1/2018","21,563","24,275","16,653","11,878","8,179","7,438","","","","21,704","12,595","","11,978","","2,308","2,656","5,052",""
"4/1/2018","20,862","24,376","15,969","11,445","8,001","7,260","","","","20,701","12,136","","11,554","","2,168","2,160","6,627",""
"5/1/2018","21,564","24,830","15,712","12,024","8,408","7,678","","","","23,236","12,697","","11,364","","2,329","2,472","6,065",""
"6/1/2018","20,791","23,574","16,062","11,181","8,148","7,400","","","","20,564","11,236","","11,608","","2,217","2,280","6,690",""
"7/1/2018","21,410","22,627","15,877","10,980","5,678","7,530","","","","20,830","11,181","","12,008","","2,176","2,354","7,864",""
"8/1/2018","21,411","19,890","15,830","11,065","8,003","7,260","","","","20,726","11,048","","11,830","","2,180","2,185","7,934",""
"9/1/2018","20,788","20,410","15,662","10,964","7,067","7,256","","","","21,164","11,526","","11,558","","2,094","2,439","7,445",""
"10/1/2018","21,575","21,040","16,652","11,729","9,483","7,259","","","","24,036","14,005","","11,948","","2,187","2,443","7,455",""
"11/1/2018","20,847","21,188","16,130","11,351","10,183","7,018","","","","23,086","12,874","","11,586","","2,232","2,759","6,083",""
"12/1/2018","21,555","21,071","16,528","11,667","10,460","7,502","","","","23,707","13,185","","11,946","","2,283","2,811","6,008",""
"1/1/2019","21,539","21,446","16,562","11,716","10,465","7,502","","","","23,721","13,209","","11,947","","2,178","2,091","6,039",""
"2/1/2019","19,453","19,414","15,012","10,576","9,479","6,773","","","","23,515","11,981","","10,808","","1,956","2,609","5,526",""
"3/1/2019","21,568","21,540","16,529","11,649","10,462","7,491","","","","23,686","13,211","","11,892","","2,047","2,890","6,517",""
"4/1/2019","20,871","20,824","16,094","11,328","10,201","7,224","","","","22,992","12,810","","11,542","","2,031","2,988","1,597",""
"5/1/2019","21,573","21,873","16,653","11,900","10,537","7,762","","","","24,493","13,269","","11,838","","1,995","2,446","6,162",""
"6/1/2019","20,799","20,367","15,613","11,114","10,044","7,307","","","","22,085","12,218","","11,478","","2,071","2,203","7,285",""
"7/1/2019","21,412","20,785","15,893","11,021","10,242","7,502","","","","21,488","12,355","","11,978","","2,242","2,480","6,798",""
"8/1/2019","21,415","20,924","15,925","11,287","10,568","7,592","","","","21,321","12,381","","12,022","","2,169","1,986","7,129",""
"9/1/2019","21,039","21,636","15,969","11,361","10,693","8,021","","","","22,173","12,549","","11,950","","2,066","3,047","6,714",""
"10/1/2019","22,064","21,764","16,862","11,998","11,183","9,530","","","","23,859","13,323","","11,992","","2,149","3,332","6,483",""
"11/1/2019","21,578","21,274","16,298","11,608","10,796","9,262","","","","22,868","12,848","","11,950","","2,114","2,845","5,848",""
"12/1/2019","22,157","21,885","16,756","11,988","10,979","9,371","","","","23,762","13,198","","11,940","","2,163","3,177","5,660",""
"1/1/2020","22,246","21,532","16,756","12,003","11,055","9,363","","","","23,745","13,258","","9,712","","2,547","2,088","5,321",""
"2/1/2020","20,804","20,057","15,719","11,192","10,355","8,746","","","","22,371","12,407","","11,198","","2,379","2,366","5,060",""
"3/1/2020","19,529","19,715","15,012","10,152","9,951","8,345","","","","20,378","12,313","","10,460","","2,254","1,729","3,349",""
"4/1/2020","13,066","10,726","8,790","4,863","4,435","3,403","","","","10,951","7,024","","1,360","","198","","",""
"5/1/2020","11,624","9,354","7,940","4,535","4,680","2,128","","","","10,952","6,453","","2,838","","","","",""
"6/1/2020","20,441","17,879","12,991","8,632","10,420","6,588","","","","21,548","12,328","","7,868","","","","",""
"7/1/2020","21,450","18,190","13,257","8,978","10,855","6,324","","","","22,586","11,289","","8,426","","1,843","","",""
"8/1/2020","21,553","18,082","15,041","9,117","10,891","6,446","","","","22,717","11,308","","8,430","","2,178","1,601","5,240",""
"9/1/2020","20,762","17,808","14,750","9,042","10,532","6,492","","","","20,625","10,982","","8,160","","2,202","1,986","5,966",""
"10/1/2020","21,511","18,258","15,271","10,060","10,892","6,542","","","","21,200","11,722","","8,432","","2,212","1,928","4,285",""
"11/1/2020","20,519","17,391","14,685","10,064","10,220","6,396","10,134","","","20,472","11,201","","8,100","","2,183","1,627","4,325",""
"12/1/2020","17,407","15,012","13,496","9,261","8,766","5,198","8,475","","","17,322","9,627","","6,072","","1,740","1,131","2,599",""
"1/1/2021","16,553","14,661","13,054","8,706","8,286","4,407","8,075","","","16,697","9,127","3,538","5,280","","389","1,045","2,312",""
"2/1/2021","15,646","14,467","12,107","8,268","7,833","4,520","7,721","","","16,592","8,679","4,615","5,276","","1,511","1,109","2,622",""
"3/1/2021","19,107","16,448","14,439","10,133","9,530","5,782","9,419","","","21,350","10,611","6,116","7,000","","2,033","1,584","4,535",""
"4/1/2021","15,904","14,226","12,484","8,403","8,048","4,456","7,369","","","16,887","8,895","6,132","5,074","","1,484","1,384","4,235",""
"5/1/2021","12,365","11,714","10,088","6,427","6,300","2,474","5,619","","","11,179","6,795","5,038","2,540","","825","729","1,901",""
"6/1/2021","18,885","15,906","7,785","10,140","9,466","5,920","8,349","","6,477","20,769","10,321","6,558","6,580","","1,749","1,621","5,379",""
"7/1/2021","21,522","17,902","7,742","11,304","10,654","6,174","9,624","","7,185","23,684","11,493","6,844","8,432","","2,042","2,166","6,984",""
"8/1/2021","21,759","18,433","7,807","11,377","10,724","6,805","9,692","","7,239","23,234","11,576","6,678","4,352","","2,214","2,058","6,765",""
"9/1/2021","20,988","18,353","8,098","11,008","10,444","7,276","9,406","","6,800","22,754","12,291","6,697","8,146","","2,124","2,554","6,279",""
"10/1/2021","21,744","18,835","8,308","11,408","10,684","7,590","9,714","","7,239","23,474","12,540","6,924","7,590","","2,139","2,719","6,279",""
"11/1/2021","21,002","18,430","8,082","11,342","10,807","7,330","9,234","","7,037","22,653","12,441","7,702","8,160","","2,117","2,669","6,338",""
"12/1/2021","21,765","19,130","8,378","11,692","11,229","7,590","9,857","","7,275","23,579","12,753","7,978","8,432","","2,335","2,524","5,165",""
"1/1/2022","21,648","18,938","8,138","11,448","11,074","7,605","10,149","","7,203","22,624","12,333","7,690","8,438","","2,291","2,171","4,862",""
"2/1/2022","19,599","17,164","7,572","10,508","10,111","6,854","9,061","","7,544","21,223","11,459","7,036","9,296","","2,070","2,057","4,677",""
"3/1/2022","21,677","19,084","8,378","11,755","11,099","7,580","10,077","","7,273","23,516","12,734","7,779","10,136","","2,350","2,944","5,522",""
"4/1/2022","21,295","18,774","8,150","11,558","10,995","7,560","9,966","","7,020","23,684","12,263","7,691","9,950","","2,225","3,014","5,928",""
"5/1/2022","21,763","18,902","8,213","11,800","11,206","7,746","10,153","","7,039","24,062","12,434","7,844","9,838","","2,230","2,993","7,021",""
"6/1/2022","21,202","18,512","8,152","11,357","10,878","7,454","9,967","","6,874","23,160","11,840","7,376","9,614","","2,179","3,003","6,835",""
"7/1/2022","21,920","18,469","7,659","11,306","10,286","7,782","9,923","","6,561","22,854","11,565","7,230","10,168","","2,022","2,538","7,124",""
"8/1/2022","21,864","18,577","7,836","11,385","10,309","7,706","10,121","","3,632","22,498","11,564","6,967","10,168","","2,314","2,469","7,008",""
"9/1/2022","21,234","18,202","7,916","11,268","10,554","7,355","10,059","","7,038","22,643","11,900","7,526","9,674","","2,245","2,871","6,698",""
"10/1/2022","21,958","18,947","8,040","11,648","11,064","7,498","10,250","","7,020","23,606","12,497","8,119","10,168","","2,103","3,746","6,787",""
"11/1/2022","21,030","19,228","8,212","11,247","10,795","7,260","9,695","","7,037","22,916","12,309","7,779","9,694","8,024","2,211","3,259","5,665",""
"12/1/2022","21,959","19,828","8,470","11,638","11,137","7,488","10,651","","7,261","23,865","12,699","8,133","10,110","8,440","2,124","3,379","5,832",""
"1/1/2023","22,053","20,029","8,431","11,786","11,414","7,694","17,209","5,236","7,255","23,387","12,641","7,927","10,180","8,428","2,261","5,342","12,072",""
"2/1/2023","19,957","17,687","7,672","10,683","10,196","6,984","15,794","5,866","6,588","21,136","11,459","7,053","9,188","7,608","2,075","1,822","4,484",""
"3/1/2023","21,986","19,930","8,530","11,835","11,547","7,753","17,527","6,392","7,320","23,528","12,809","8,256","9,888","8,486","2,294","2,225","5,563",""
"4/1/2022","21,361","18,690","7,606","11,417","11,059","7,566","16,683","6,118","7,248","22,708","12,247","7,718","9,990","8,328","2,167","2,625","5,818",""
"5/1/2023","21,990","19,374","8,055","11,652","11,545","7,698","17,466","6,969","7,239","23,229","12,649","7,679","10,172","8,352","2,263","6,613","2,703",""
"6/1/2023","21,152","18,204","8,109","11,308","10,973","7,464","16,664","6,824","6,740","22,227","11,732","6,898","9,620","8,140","2,156","2,755","6,823",""
"7/1/2023","19,451","17,779","7,525","10,852","10,494","7,541","16,079","6,467","7,210","22,029","11,497","7,059","10,084","8,412","2,321","2,576","6,742",""
"8/1/2023","18,991","18,662","7,536","10,369","10,528","7,722","16,025","6,434","7,207","21,839","11,531","6,953","10,176","8,432","2,339","2,479","7,156",""
"9/1/2023","18,101","18,286","7,521","11,100","10,875","7,487","16,527","6,248","6,974","22,170","11,832","7,454","9,840","8,158","2,212","2,465","6,694",""
"10/1/2023","18,653","19,307","7,007","11,780","11,533","7,699","16,838","6,506","7,737","23,129","12,591","7,670","10,202","8,426","2,168","3,616","6,647",""
"11/1/2023","17,894","19,028","7,665","11,432","11,347","7,441","15,594","6,267","6,544","21,268","12,272","7,439","9,632","8,144","2,131","2,841","4,994",""
"12/1/2023","18,545","19,478","7,984","11,779","11,778","7,722","16,123","6,480","6,787","22,045","12,509","7,677","10,160","8,421","2,226","3,156","5,832",""
